section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747545011967,809.808,559.448,1.0,1,,-1.1514516741117244,2.443128452908407
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747548148967,816.482,563.206,1.0,1,,-0.7197554861117708,2.200332720977097
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747554376967,822.434,566.912,1.0,1,,-0.33483503314381075,1.9608209387431477
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747557476967,807.584,569.31,1.0,1,,-1.2949755225043842,1.805560701483055
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747563792967,796.572,562.264,1.0,1,,-2.0072118186602,2.260724705147941
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747570049967,796.404,559.973,1.0,1,,-2.018208289246286,2.408798413044014
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747573130967,804.607,550.718,1.0,1,,-1.488172225749303,3.0073451875066257
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747579445967,811.561,553.036,1.0,1,,-1.038278392324686,2.8577089772228135
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747582555967,804.72,558.681,1.0,1,,-1.4804936321564761,2.4925894044180934
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747588797967,784.908,545.29,1.0,1,,-2.7628863209445247,3.3570470081417847
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747595130967,822.449,542.515,1.0,1,,-0.3340619407690624,3.5380575482944323
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747598141967,811.211,554.846,1.0,1,,-1.0608774522430369,2.740680159500529
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747798151967,818.161,565.337,1.0,1,,-0.6111605027643943,2.062571898222203
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747804486967,785.813,555.517,1.0,1,,-2.70329298197454,2.696290158575596
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747807520967,787.468,564.011,1.0,1,,-2.5956340958575463,2.147459797352893
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747814415967,818.074,564.275,1.0,1,,-0.6168098611583246,2.1312105999369693
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747820154967,796.012,553.874,1.0,1,,-2.043905080184044,2.8029549167272605
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747823148967,813.909,571.754,1.0,1,,-0.8860280558444739,1.6476856828605284
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747829411967,801.581,566.599,1.0,1,,-1.6831647464671018,1.9807132962034406
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747832487967,802.442,554.184,1.0,1,,-1.628040590278531,2.783198621913771
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747838810967,797.961,544.102,1.0,1,,-1.9185736502735025,3.434666951943189
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747845153967,811.033,543.407,1.0,1,,-1.0727674632304838,3.480118131588614
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747848184967,795.45,558.339,1.0,1,,-2.0799940550939495,2.5143407321801448
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747854757967,785.376,548.86,1.0,1,,-2.732208531029161,3.1263738782747876
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747858363967,774.583,565.772,1.0,1,,-3.428317778289862,2.033098440341548
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747863732967,761.789,545.566,1.0,1,,-4.257949002490358,3.337141887856115
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747870057967,760.034,549.218,1.0,1,,-4.3707512667802835,3.1011623480752095
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747873256967,777.755,574.418,1.0,1,,-3.2227469937638356,1.474682199817711
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747880067967,785.486,579.475,1.0,1,,-2.7228932317154033,1.1481001164002846
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060747882467967,752.616,559.378,1.0,1,,-4.848583471677708,2.4445039598390204
